,Balcony,Bathroom,High cost
0,2,1,0
1,0,2,1
2,0,2,1
3,1,1,0
4,0,2,1
5,1,1,1
6,0,1,0
7,0,1,1
8,0,1,1
9,1,3,1
10,0,2,1
11,0,2,1
12,0,2,1
13,1,4,1
14,0,1,1
15,1,2,1
16,2,1,0
17,0,1,1
18,0,2,1
19,1,1,1
20,0,1,1
21,2,2,1
22,0,2,1
23,1,2,1
24,0,1,0
25,0,1,1
26,1,1,1
27,0,1,1
28,3,3,1
29,1,1,1
30,1,3,1
31,2,2,1
32,1,2,1
33,0,3,1
34,3,2,1
35,3,1,0
36,0,1,1
37,0,1,0
38,1,2,1
39,3,2,0
40,2,1,0
41,0,2,1
42,2,2,0
43,0,2,1
44,2,2,0
45,1,1,1
46,0,2,1
47,0,1,0
48,1,2,1
49,0,2,1
50,1,1,1
51,0,1,0
52,0,1,1
53,1,1,0
54,3,2,1
55,3,1,1
56,1,2,0
57,2,2,1
58,1,2,1
59,1,2,0
60,2,3,1
61,1,1,0
62,0,2,1
63,0,1,1
64,0,1,1
65,0,2,1
66,1,2,1
67,0,2,1
68,1,3,1
69,2,2,0
70,3,3,0
71,0,2,0
72,1,2,1
73,2,3,1
74,0,1,0
75,0,1,1
76,1,3,1
77,0,3,1
78,3,2,1
79,1,1,1
80,1,3,1
81,0,2,1
82,2,2,1
83,2,1,0
84,3,1,0
85,1,2,1
86,2,2,0
87,1,1,1
88,2,2,1
89,1,2,1
90,1,1,0
91,2,2,1
92,1,1,1
93,0,2,1
94,0,1,0
95,0,2,1
96,0,2,1
97,0,2,1
98,1,2,1
99,3,2,1
100,1,2,1
101,1,1,1
102,1,2,1
103,4,4,0
104,1,1,0
105,0,3,0
106,0,1,1
107,0,2,0
108,0,2,1
109,3,1,1
110,4,2,0
111,1,1,0
112,1,2,1
113,0,2,1
114,0,3,1
115,1,1,0
116,1,2,1
117,0,1,1
118,0,2,1
119,4,2,0
120,3,2,0
121,0,1,1
122,2,1,1
123,0,2,0
124,3,2,0
125,0,2,1
126,1,2,1
127,1,3,1
128,0,1,0
129,0,1,0
130,0,1,0
